Date,Open,High,Low,Close,Volume
2013-01-15,1470.67,1473.31,1463.76,1472.34,1741861111
2013-01-16,1472.33,1473.96,1467.6,1472.63,1880044444
2013-01-17,1472.63,1485.16,1472.63,1480.94,2059283333
2013-01-18,1480.95,1485.98,1475.81,1485.98,2108744444
2013-01-22,1485.98,1492.56,1481.16,1492.56,1983861111
2013-01-23,1492.56,1496.13,1489.9,1494.81,1973338889
2013-01-24,1494.81,1502.27,1489.46,1494.82,2055238889
2013-01-25,1494.82,1503.26,1494.82,1502.96,1931272222
2013-01-28,1502.96,1503.23,1496.33,1500.18,1882522222
2013-01-29,1500.18,1509.35,1498.09,1507.84,2194244444
2013-01-30,1507.84,1509.94,1500.11,1501.96,2070450000
2013-01-31,1501.96,1504.19,1496.76,1498.11,2222155556
2013-02-01,1498.11,1514.41,1498.11,1513.17,2131288889
2013-02-04,1513.17,1513.17,1495.02,1495.71,1883333333
2013-02-05,1495.71,1514.96,1495.71,1511.29,2010200000
2013-02-06,1511.29,1512.53,1504.71,1512.12,2006427778
2013-02-07,1512.12,1512.9,1498.49,1509.39,2008100000
2013-02-08,1509.39,1518.31,1509.39,1517.93,1658972222
2013-02-11,1517.93,1518.31,1513.61,1517.01,1491166667
2013-02-12,1517.01,1522.29,1515.61,1519.43,1896872222
2013-02-13,1519.43,1524.69,1515.93,1520.33,1881044444
2013-02-14,1520.33,1523.14,1514.02,1521.38,2088744444
2013-02-15,1521.38,1524.24,1514.14,1519.79,2132505556
2013-02-19,1519.79,1530.94,1519.79,1530.94,2082727778
2013-02-20,1530.94,1530.94,1511.41,1511.95,2355872222
2013-02-21,1511.95,1511.95,1497.29,1502.42,2374777778
2013-02-22,1502.42,1515.64,1502.42,1515.6,1899622222
2013-02-25,1515.6,1525.84,1487.85,1487.85,2228361111
2013-02-26,1487.85,1498.99,1485.01,1496.94,2208488889
2013-02-27,1496.94,1520.08,1494.88,1515.99,1973250000
